region,treat.id,control.id,sample.id,date,time,farm.name,lat,lon,treat.type,sample.type,control.type,mesh,tow.duration,tow.depth,flow.vol,sample.vol,subsample.vol,egg,naup,l.cope,c.cope,cope,l.chal,c.chal,chal,l.mot,c.mot,mot,lice,lice.extrap,inf.lice,inf.lice.extrap,comments
Clayoquot Sound,Ross_Pass_effluent_2021-07,NA,MHSS1,2021-07-23,1216,Ross Pass,49.32483063,-126.0467719,hydrolicer,effluent,NA,20,NA,NA,11.2604869653805,1000,500,1,5,2,4,6,0,0,0,0,0,0,12,24,5,10,NA
Clayoquot Sound,Millar_Channel_effluent_2021-08,NA,MHSS2,2021-08-11,1130,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,20,NA,NA,7.26384989129808,1000,500,6,9,1,2,3,0,0,0,0,0,0,18,36,9,18,possible partial egg string in sample with eggs
Clayoquot Sound,Millar_Channel_effluent_2021-08,NA,MHSS3,2021-08-11,1140,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,20,NA,NA,2.7201446245656,1000,500,0,2,0,0,0,0,0,0,1,0,1,3,6,3,6,no fish run through hydrolicer while sampling; pal male
Clayoquot Sound,Millar_Channel_effluent_2021-08,NA,MHSS4,2021-08-11,1240,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,20,NA,NA,0.463488329884083,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Clayoquot Sound,Ross_Pass_effluent_2021-08,NA,MHSS5,2021-08-16,1111,Ross Pass,49.32483063,-126.0467719,hydrolicer,effluent,NA,250,NA,NA,13287.108683222,1000,500,1,1,21,30,51,56,0,56,2,5,7,116,232,8,16,pal male; pal female
Clayoquot Sound,Ross_Pass_effluent_2021-08,NA,MHSS6,2021-08-16,1145,Ross Pass,49.32483063,-126.0467719,hydrolicer,effluent,NA,20,NA,NA,NA,1000,500,0,0,1,0,1,0,0,0,1,0,1,2,4,1,2,NA
Clayoquot Sound,Ross_Pass_effluent_2021-08,NA,MHSS7,2021-08-16,1207,Ross Pass,49.32483063,-126.0467719,hydrolicer,effluent,NA,20,NA,NA,NA,1000,500,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,NA
Clayoquot Sound,Millar_Channel_effluent_2021-08,NA,MHSS8,2021-08-25,1145,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,250,NA,NA,312.685774464148,1000,250,0,13,9,126,135,21,0,21,2,1,3,172,688,16,64,pal male; pal female
Clayoquot Sound,Saranac_effluent_2021-08,NA,MHSS9,2021-08-31,NA,Saranac,49.24726069,-125.9071846,hydrolicer,effluent,NA,250,NA,NA,1076.49174760509,1000,500,0,2,9,5,14,281,0,281,1,10,11,308,616,13,26,pal male
Clayoquot Sound,Rant_Point_effluent_2022-02,NA,CA1,2022-02-28,NA,Rant Point,49.25863484,-125.8432214,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,NA
Clayoquot Sound,Rant_Point_effluent_2022-02,NA,CA2,2022-02-28,NA,Rant Point,49.25863484,-125.8432214,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Clayoquot Sound,Rant_Point_effluent_2022-02,NA,CA3,2022-02-28,NA,Rant Point,49.25863484,-125.8432214,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Clayoquot Sound,NA,Rant_Point_spatial_2022-02,CA4,2022-02-28,NA,Rant Point,49.25863484,-125.8432214,hydrolicer,control,spatial,250,NA,NA,NA,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Clayoquot Sound,Millar_Channel_effluent_2022-03,NA,CA5,2022-03-08,NA,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,0,3,3,0,13,13,0,0,0,16,32,0,0,NA
Clayoquot Sound,Millar_Channel_effluent_2022-03,NA,CA6,2022-03-08,NA,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,0,3,3,2,1,3,0,0,0,6,12,0,0,scales in sample
Clayoquot Sound,Millar_Channel_effluent_2022-03,NA,CA7,2022-03-08,NA,Millar Channel,49.37502895,-126.0911134,hydrolicer,effluent,NA,250,NA,NA,NA,1000,500,0,0,0,0,0,1,10,11,0,1,1,12,24,1,2,scales I sample; caligus male motile
