Sample ,Collection date (MONTH/DAY/YEAR),collection time,site name,sample type,control type,tow type,treatment ,sampling Crew,analysis by,lat,long,tow net mesh size,sample size (ml),number of times sample split (1 for no split),sample observed (ml),total lice extrapolated if sample split,total lice counted,Count Eggs ,Count Nauplii,Count Lep Cope,Count Cal Cope,Count Cal Chal,Lep chal a,Lep chal b,motile lep,motile cal,density attached (incl lep cope) lice/m3 ,density motile- lice/m3,density eggs (and naup)- lice/m3,density all lice / m3,flow meter in,flow meter out,flow difference,distance,volume through net (m3),Notes
MHSS 1,07.23.2021,12:16,Ross Pass,effluent,,Source,hydrolicer,"DO, J?, BR",MB,49.324355,-126.0487211,20um,500,1,500,12,12,1,5,2,4,,,,,,0.533,0,0.533,1.065674173,65050,66532,1482,39.826,11.26047745,
MHSS 2,08.11.2021,11:30,Millar Channel,effluent,,Source,hydrolicer,"MB, J?, BR",MB,49.37500395,-126.0924894,20um,500,1,500,18,18,6,9,1,2,,,,,,0.413,0,2.065,2.478026869,66579,67535,956,25.691,7.263843756,possible partial egg string in sample with eggs
MHSS 3,08.11.2021,11:40,Millar Channel,effluent,,Source,hydrolicer,"MB, J?, BR",MB,49.37500395,-126.0924894,20um,500,1,500,3,3,,2,,,,,,1,,0,0.368,0.735,1.102883467,67562,67920,358,9.621,2.720142327,"no fish run through hydrolicer while sampling, pal male"
MHSS 4,08.11.2021,12:40,Millar Channel,effluent,,Source,hydrolicer,"MB, J?, BR",MB,49.330833,-126.071333,20um,500,1,500,0,0,,,,,,,,,,0,0,0,0,67918,67979,61,1.639,0.463487938,
MHSS 5,08.16.2021,11:11,Ross Pass,effluent,,Source,hydrolicer,"DO, J?, BR",MB,49.324355,-126.0487211,250um,500,1,500,116,116,1,1,21,30,,49,7,2,5,0.022,0.001,0,0.024250761,68000,697541,629541,16917.672,4783.355086,"pal male, pal female"
MHSS 6,08.16.2021,11:45,Ross Pass,effluent,,Source,hydrolicer,"DO, J?, BR",MB,49.324355,-126.0487211,20um,500,1,500,2,2,,,1,,,,,1,,,,,,,,,,,
MHSS 7,08.16.2021,12:07,Ross Pass,effluent,,Source,hydrolicer,"DO, J?, BR",MB,49.324355,-126.0487211,20um,500,1,500,1,1,,1,,,,,,,,,,,,,,,,,
MHSS 8,08.25.2021,11:45,Millar Channel,effluent,,Source,hydrolicer,"DO,  BR",MB,49.37500395,-126.0924894,250um,500,2,250,344,172,,13,9,126,,12,9,2,1,2.772,0.053,0.231,3.055963657,97000,111815,14815,398.124,112.5667837,"pal male, pal female"
MHSS 9,08.31.2021,,Saranac Island,effluent,,Source,hydrolicer,"DO, BR",MB,49.24695205,-125.9063766,250um,500,1,500,308,308,,2,9,5,,264,17,1,10,0.761,0.028,0.005,0.794763434,112100,163104,51004,1370.632,387.5367018,pal male
CA1,28/02/2022,na,Rant point,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.25701924,-125.8425705,250um,500,1,500,1,1,,,1,,,,,,,,,,,,,,,,
CA2,28/02/2022,na,Rant point,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.25701924,-125.8425705,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA3,28/02/2022,na,Rant point,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.25701924,-125.8425705,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA4,28/02/2022,na,Rant point,control,spatial,horizontal,hydrolicer,"LJ,BG,DL",MB,49.247217,125.850767,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA5,8/3/2022,na,Millar Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.37635,-126.09085,250um,500,1,500,16,16,,,,3,13,,,,,,,,,,,,,,
CA6,8/3/2022,na,Millar Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.37635,-126.09085,250um,500,1,500,6,6,,,,3,1,2,,,,,,,,,,,,,scales in sample
CA7,8/3/2022,na,Millar Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.37635,-126.09085,250um,500,1,500,12,12,,,,,10,1,,,1,,,,,,,,,,"scales I sample, caligus male motile"
CA8,8/3/2022,na,Millar Channel,control,spatial,horizontal,hydrolicer,"LJ,BG,DL",MB,49.3793,-126.085017,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA9,16/03/2022,na,Forture Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.235667,-125.752367,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA10,16/03/2022,na,Forture Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.235667,-125.752367,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
CA11,16/03/2022,na,Forture Channel,effluent,,Source,hydrolicer,"LJ,BG,DL",MB,49.235667,-125.752367,250um,500,1,500,0,0,,,,,,,,,,,,,,,,,,,
