Incident Date,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Aquaculture Management Unit,Mitigation
2010-12-31,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,In-Feed Treatment
2010-12-31,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,In-Feed Treatment
2011-01-01,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,In-Feed Treatment
2011-01-01,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,In-Feed Treatment
2011-01-09,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,Broughton Archipelago,In-Feed Treatment
2011-01-27,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,In-Feed Treatment
2011-02-05,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,In-Feed Treatment
2011-02-07,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,In-Feed Treatment
2011-02-08,303,Marine Harvest Canada,Glacial Creek,50.01008,-123.90241,Sunshine Coast,In-Feed Treatment
2011-02-18,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,In-Feed Treatment
2011-02-27,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,In-Feed Treatment
2011-03-03,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,In-Feed Treatment
2011-03-06,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,In-Feed Treatment
2011-03-08,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,In-Feed Treatment
2011-03-08,1079,Grieg Seafood BC,Steamer,49.88761,-126.79088,Esperanza Inlet,In-Feed Treatment
2011-03-26,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,In-Feed Treatment
2011-04-01,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,In-Feed Treatment
2011-04-02,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,In-Feed Treatment
2011-05-10,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,In-Feed Treatment
2011-05-11,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,In-Feed Treatment
2011-05-14,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,In-Feed Treatment
2011-05-16,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,In-Feed Treatment
2011-06-11,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,In-Feed Treatment
2011-07-08,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,In-Feed Treatment
2011-08-10,1079,Grieg Seafood BC,Steamer,49.88761,-126.79088,Esperanza Inlet,Harvest
2011-08-11,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,In-Feed Treatment
2011-08-27,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,In-Feed Treatment
2011-08-28,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,In-Feed Treatment
2011-08-31,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,In-Feed Treatment
2011-09-01,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,In-Feed Treatment
2011-09-01,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,In-Feed Treatment
2011-09-13,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Harvest
2011-09-19,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Discovery Islands,In-Feed Treatment
2011-09-19,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,In-Feed Treatment
2011-09-19,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,In-Feed Treatment
2011-09-20,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,In-Feed Treatment
2011-09-20,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,In-Feed Treatment
2011-09-28,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,In-Feed Treatment
2011-09-29,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,In-Feed Treatment
2011-10-05,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,In-Feed Treatment
2011-10-11,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,In-Feed Treatment
2011-10-13,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,In-Feed Treatment
2011-10-13,1691,Marine Harvest Canada,Kid Bay,52.80108,-128.40431,Central Coast,In-Feed Treatment
2011-10-22,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Harvest
2011-10-27,227,Mainstream Canada,Bawden,49.30905,-126.00742,Clayoquot Sound,In-Feed Treatment
2011-10-28,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,In-Feed Treatment
2011-11-02,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,In-Feed Treatment
2011-11-02,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,In-Feed Treatment
2011-11-15,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.2103,Discovery Islands,In-Feed Treatment
2011-11-16,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,In-Feed Treatment
2011-11-16,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,In-Feed Treatment
2011-12-01,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,In-Feed Treatment
2011-12-11,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,In-Feed Treatment
