Treatment,Vessel,site name,Sample type,control type,Sample #,Time,Duration of tow min,Depth m,Speed kt,Day collection,Day examined,Temp,Salinity,Month,Year,egg,naup,cope,chalimus,adult,Coments,scales,undeveloped eggs?,ruptured egg,ruptured egg string
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,24,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,24,6,26.5,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,24,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,24,6,27.3,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,24,6,27.1,9,2021,0,0,0,1,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,24,6,27.2,9,2021,0,0,0,0,1,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,24,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,24,6,27.2,9,2021,0,2,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,25,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,25,6,26.5,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,25,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,25,6,27.3,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,25,6,27.1,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,25,6,27.2,9,2021,0,2,0,0,2,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,25,6,27,9,2021,0,2,0,1,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,25,6,27.2,9,2021,5,0,0,2,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,26,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,26,6,26.5,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,26,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,26,6,27.3,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,26,6,27.1,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,26,6,27.2,9,2021,2,1,0,0,2,adult alive,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,26,6,27,9,2021,5,5,0,1,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,26,6,27.2,9,2021,2,1,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,27,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,27,6,26.5,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,27,6,27,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,control,spatial,,,3,1.5,,23,27,6,27.3,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,27,6,27.1,9,2021,0,0,0,0,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,27,6,27.2,9,2021,0,0,0,0,1,adult alive,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,27,6,27,9,2021,1,0,0,1,0,,,,,
Hydrolicer,Mowi Hydrolicer,,effluent,,,,3,1.5,,23,27,6,27.2,9,2021,2,0,0,0,0,,,,,
Freshwater,Aqua Tromoy,Mitchell Bay,control ,spatial,,,15,3,,1,2,6.5,28,10,2021,0,0,0,0,0,,,,,
